# Generated from glyphlist.txt available from
# http://partners.adobe.com/asn/developer/typeforum/unicodegn.html
#
A,41
chochingthai,e09
chochoethai,e0c
chook,188
cieucacirclekorean,3276
cieucaparenkorean,3216
cieuccirclekorean,3268
cieuckorean,3148
cieucparenkorean,3208
cieucuparenkorean,321c
circle,25cb
circlemultiply,2297
circleot,2299
circleplus,2295
circlepostalmark,3036
circlewithlefthalfblack,25d0
circlewithrighthalfblack,25d1
circumflex,2c6
circumflexbelowcmb,32d
circumflexcmb,302
clear,2327
clickalveolar,1c2
clickdental,1c0
clicklateral,1c1
clickretroflex,1c3
club,2663
clubsuitblack,2663
clubsuitwhite,2667
cmcubedsquare,33a4
cmonospace,ff43
cmsquaredsquare,33a0
coarmenian,581
colon,3a
colonmonetary,20a1
colonmonospace,ff1a
colonsign,20a1
colonsmall,fe55
colontriangularhalfmod,2d1
colontriangularmod,2d0
comma,2c
commaabovecmb,313
commaaboverightcmb,315
commaaccent,f6c3
commaarabic,60c
commaarmenian,55d
commainferior,f6e1
commamonospace,ff0c
commareversedabovecmb,314
commareversedmod,2bd
commasmall,fe50
commasuperior,f6e2
commaturnedabovecmb,312
commaturnedmod,2bb
compass,263c
congruent,2245
contourintegral,222e
control,2303
controlACK,6
controlBEL,7
controlBS,8
controlCAN,18
controlCR,d
controlDC1,11
controlDC2,12
controlDC3,13
controlDC4,14
controlDEL,7f
controlDLE,10
controlEM,19
controlENQ,5
controlEOT,4
controlESC,1b
controlETB,17
controlETX,3
controlFF,c
controlFS,1c
controlGS,1d
controlHT,9
controlLF,a
controlNAK,15
controlRS,1e
controlSI,f
controlSO,e
controlSOT,2
controlSTX,1
controlSUB,1a
controlSYN,16
controlUS,1f
controlVT,b
copyright,a9
copyrightsans,f8e9
copyrightserif,f6d9
cornerbracketleft,300c
cornerbracketlefthalfwidth,ff62
cornerbracketleftvertical,fe41
cornerbracketright,300d
cornerbracketrighthalfwidth,ff63
cornerbracketrightvertical,fe42
corporationsquare,337f
cosquare,33c7
coverkgsquare,33c6
cparen,249e
cruzeiro,20a2
cstretched,297
curlyand,22cf
curlyor,22ce
currency,a4
cyrBreve,f6d1
cyrFlex,f6d2
cyrbreve,f6d4
cyrflex,f6d5
d,64
daarmenian,564
dabengali,9a6
dadarabic,636
dadeva,926
dadfinalarabic,febe
dadinitialarabic,febf
dadmedialarabic,fec0
dagesh,5bc
dageshhebrew,5bc
dagger,2020
daggerdbl,2021
dagujarati,aa6
dagurmukhi,a26
dahiragana,3060
dakatakana,30c0
dalarabic,62f
dalet,5d3
daletdagesh,fb33
daletdageshhebrew,fb33
dalethebrew,5d3
dalfinalarabic,feaa
dammaarabic,64f
dammalowarabic,64f
dammatanaltonearabic,64c
dammatanarabic,64c
danda,964
dargahebrew,5a7
dargalefthebrew,5a7
dasiapneumatacyrilliccmb,485
dblGrave,f6d3
dblanglebracketleft,300a
dblanglebracketleftvertical,fe3d
dblanglebracketright,300b
dblanglebracketrightvertical,fe3e
dblarchinvertedbelowcmb,32b
dblarrowleft,21d4
dblarrowright,21d2
dbldanda,965
dblgrave,f6d6
dblgravecmb,30f
dblintegral,222c
dbllowline,2017
dbllowlinecmb,333
dbloverlinecmb,33f
dblprimemod,2ba
dblverticalbar,2016
dblverticallineabovecmb,30e
dbopomofo,3109
dbsquare,33c8
dcaron,10f
dcedilla,1e11
dcircle,24d3
dcircumflexbelow,1e13
dcroat,111
ddabengali,9a1
ddadeva,921
ddagujarati,aa1
ddagurmukhi,a21
ddalarabic,688
ddalfinalarabic,fb89
dddhadeva,95c
ddhabengali,9a2
ddhadeva,922
ddhagujarati,aa2
ddhagurmukhi,a22
ddotaccent,1e0b
ddotbelow,1e0d
decimalseparatorarabic,66b
decimalseparatorpersian,66b
decyrillic,434
degree,b0
dehihebrew,5ad
dehiragana,3067
deicoptic,3ef
dekatakana,30c7
deleteleft,232b
deleteright,2326
delta,3b4
deltaturned,18d
denominatorminusonenumeratorbengali,9f8
dezh,2a4
dhabengali,9a7
dhadeva,927
dhagujarati,aa7
dhagurmukhi,a27
dhook,257
dialytikatonos,385
dialytikatonoscmb,344
diamond,2666
diamondsuitwhite,2662
dieresis,a8
dieresisacute,f6d7
dieresisbelowcmb,324
dieresiscmb,308
dieresisgrave,f6d8
dieresistonos,385
dihiragana,3062
dikatakana,30c2
dittomark,3003
divide,f7
divides,2223
divisionslash,2215
djecyrillic,452
dkshade,2593
dlinebelow,1e0f
dlsquare,3397
dmacron,111
dmonospace,ff44
dnblock,2584
dochadathai,e0e
dodekthai,e14
dohiragana,3069
dokatakana,30c9
dollar,24
dollarinferior,f6e3
dollarmonospace,ff04
dollaroldstyle,f724
dollarsmall,fe69
dollarsuperior,f6e4
dong,20ab
dorusquare,3326
dotaccent,2d9
dotaccentcmb,307
dotbelowcmb,323
dotbelowcomb,323
dotkatakana,30fb
dotlessi,131
dotlessj,f6be
dotlessjstrokehook,284
dotmath,22c5
dottedcircle,25cc
doubleyodpatah,fb1f
doubleyodpatahhebrew,fb1f
downtackbelowcmb,31e
downtackmod,2d5
dparen,249f
dsuperior,f6eb
dtail,256
dtopbar,18c
duhiragana,3065
dukatakana,30c5
dz,1f3
dzaltone,2a3
dzcaron,1c6
dzcurl,2a5
dzeabkhasiancyrillic,4e1
dzecyrillic,455
dzhecyrillic,45f
e,65
eacute,e9
earth,2641
ebengali,98f
ebopomofo,311c
ebreve,115
ecandradeva,90d
ecandragujarati,a8d
ecandravowelsigndeva,945
ecandravowelsigngujarati,ac5
ecaron,11b
ecedillabreve,1e1d
echarmenian,565
echyiwnarmenian,587
ecircle,24d4
ecircumflex,ea
ecircumflexacute,1ebf
ecircumflexbelow,1e19
ecircumflexdotbelow,1ec7
ecircumflexgrave,1ec1
ecircumflexhookabove,1ec3
ecircumflextilde,1ec5
ecyrillic,454
edblgrave,205
edeva,90f
edieresis,eb
edot,117
edotaccent,117
edotbelow,1eb9
eegurmukhi,a0f
eematragurmukhi,a47
efcyrillic,444
egrave,e8
egujarati,a8f
eharmenian,567
ehbopomofo,311d
ehiragana,3048
ehookabove,1ebb
eibopomofo,311f
eight,38
eightarabic,668
eightbengali,9ee
eightcircle,2467
eightcircleinversesansserif,2791
eightdeva,96e
eighteencircle,2471
eighteenparen,2485
eighteenperiod,2499
eightgujarati,aee
eightgurmukhi,a6e
eighthackarabic,668
eighthangzhou,3028
eighthnotebeamed,266b
eightideographicparen,3227
eightinferior,2088
eightmonospace,ff18
eightoldstyle,f738
eightparen,247b
eightperiod,248f
eightpersian,6f8
eightroman,2177
eightsuperior,2078
eightthai,e58
einvertedbreve,207
eiotifiedcyrillic,465
ekatakana,30a8
ekatakanahalfwidth,ff74
ekonkargurmukhi,a74
ekorean,3154
elcyrillic,43b
element,2208
elevencircle,246a
elevenparen,247e
elevenperiod,2492
elevenroman,217a
ellipsis,2026
ellipsisvertical,22ee
emacron,113
emacronacute,1e17
emacrongrave,1e15
emcyrillic,43c
emdash,2014
emdashvertical,fe31
emonospace,ff45
emphasismarkarmenian,55b
emptyset,2205
enbopomofo,3123
encyrillic,43d
endash,2013
endashvertical,fe32
endescendercyrillic,4a3
eng,14b
engbopomofo,3125
enghecyrillic,4a5
enhookcyrillic,4c8
enspace,2002
eogonek,119
eokorean,3153
eopen,25b
eopenclosed,29a
eopenreversed,25c
eopenreversedclosed,25e
eopenreversedhook,25d
eparen,24a0
epsilon,3b5
epsilontonos,3ad
equal,3d
equalmonospace,ff1d
equalsmall,fe66
equalsuperior,207c
equivalence,2261
erbopomofo,3126
ercyrillic,440
ereversed,258
ereversedcyrillic,44d
escyrillic,441
esdescendercyrillic,4ab
esh,283
eshcurl,286
eshortdeva,90e
eshortvowelsigndeva,946
eshreversedloop,1aa
eshsquatreversed,285
esmallhiragana,3047
esmallkatakana,30a7
esmallkatakanahalfwidth,ff6a
estimated,212e
esuperior,f6ec
eta,3b7
etarmenian,568
etatonos,3ae
eth,f0
etilde,1ebd
etildebelow,1e1b
etnahtafoukhhebrew,591
etnahtafoukhlefthebrew,591
etnahtahebrew,591
etnahtalefthebrew,591
eturned,1dd
eukorean,3161
Euro,20ac
evowelsignbengali,9c7
evowelsigndeva,947
evowelsigngujarati,ac7
exclam,21
exclamarmenian,55c
exclamdbl,203c
exclamdown,a1
exclamdownsmall,f7a1
exclammonospace,ff01
exclamsmall,f721
existential,2203
ezh,292
ezhcaron,1ef
ezhcurl,293
ezhreversed,1b9
ezhtail,1ba
f,66
fadeva,95e
fagurmukhi,a5e
fahrenheit,2109
fathaarabic,64e
fathalowarabic,64e
fathatanarabic,64b
fbopomofo,3108
fcircle,24d5
fdotaccent,1e1f
feharabic,641
feharmenian,586
fehfinalarabic,fed2
fehinitialarabic,fed3
fehmedialarabic,fed4
feicoptic,3e5
female,2640
ff,fb00
ffi,fb03
ffl,fb04
fi,fb01
fifteencircle,246e
fifteenparen,2482
fifteenperiod,2496
figuredash,2012
filledbox,25a0
filledrect,25ac
finalkaf,5da
finalkafdagesh,fb3a
finalkafdageshhebrew,fb3a
finalkafhebrew,5da
finalmem,5dd
finalmemhebrew,5dd
finalnun,5df
finalnunhebrew,5df
finalpe,5e3
finalpehebrew,5e3
finaltsadi,5e5
finaltsadihebrew,5e5
firsttonechinese,2c9
fisheye,25c9
fitacyrillic,473
five,35
fivearabic,665
fivebengali,9eb
fivecircle,2464
fivecircleinversesansserif,278e
fivedeva,96b
fiveeighths,215d
fivegujarati,aeb
fivegurmukhi,a6b
fivehackarabic,665
fivehangzhou,3025
fiveideographicparen,3224
fiveinferior,2085
fivemonospace,ff15
fiveoldstyle,f735
fiveparen,2478
fiveperiod,248c
fivepersian,6f5
fiveroman,2174
fivesuperior,2075
fivethai,e55
fl,fb02
florin,192
fmonospace,ff46
fmsquare,3399
fofanthai,e1f
fofathai,e1d
fongmanthai,e4f
forall,2200
four,34
fourarabic,664
fourbengali,9ea
fourcircle,2463
fourcircleinversesansserif,278d
fourdeva,96a
fourgujarati,aea
fourgurmukhi,a6a
fourhackarabic,664
fourhangzhou,3024
fourideographicparen,3223
fourinferior,2084
fourmonospace,ff14
fournumeratorbengali,9f7
fouroldstyle,f734
fourparen,2477
fourperiod,248b
fourpersian,6f4
fourroman,2173
foursuperior,2074
fourteencircle,246d
fourteenparen,2481
fourteenperiod,2495
fourthai,e54
fourthtonechinese,2cb
fparen,24a1
fraction,2044
franc,20a3
g,67
gabengali,997
gacute,1f5
gadeva,917
gafarabic,6af
gaffinalarabic,fb93
gafinitialarabic,fb94
gafmedialarabic,fb95
gagujarati,a97
gagurmukhi,a17
gahiragana,304c
gakatakana,30ac
gamma,3b3
gammalatinsmall,263
gammasuperior,2e0
gangiacoptic,3eb
gbopomofo,310d
gbreve,11f
gcaron,1e7
gcedilla,123
gcircle,24d6
gcircumflex,11d
gcommaaccent,123
gdot,121
gdotaccent,121
gecyrillic,433
gehiragana,3052
gekatakana,30b2
geometricallyequal,2251
gereshaccenthebrew,59c
gereshhebrew,5f3
gereshmuqdamhebrew,59d
germandbls,df
gershayimaccenthebrew,59e
gershayimhebrew,5f4
getamark,3013
ghabengali,998
ghadarmenian,572
ghadeva,918
ghagujarati,a98
ghagurmukhi,a18
ghainarabic,63a
ghainfinalarabic,fece
ghaininitialarabic,fecf
ghainmedialarabic,fed0
ghemiddlehookcyrillic,495
ghestrokecyrillic,493
gheupturncyrillic,491
ghhadeva,95a
ghhagurmukhi,a5a
ghook,260
ghzsquare,3393
gihiragana,304e
gikatakana,30ae
gimarmenian,563
gimel,5d2
gimeldagesh,fb32
gimeldageshhebrew,fb32
gimelhebrew,5d2
gjecyrillic,453
glottalinvertedstroke,1be
glottalstop,294
glottalstopinverted,296
glottalstopmod,2c0
glottalstopreversed,295
glottalstopreversedmod,2c1
glottalstopreversedsuperior,2e4
glottalstopstroke,2a1
glottalstopstrokereversed,2a2
gmacron,1e21
gmonospace,ff47
gohiragana,3054
gokatakana,30b4
gparen,24a2
gpasquare,33ac
gradient,2207
grave,60
gravebelowcmb,316
gravecmb,300
gravecomb,300
gravedeva,953
gravelowmod,2ce
gravemonospace,ff40
gravetonecmb,340
greater,3e
greaterequal,2265
greaterequalorless,22db
greatermonospace,ff1e
greaterorequivalent,2273
greaterorless,2277
greateroverequal,2267
greatersmall,fe65
gscript,261
gstroke,1e5
guhiragana,3050
guillemotleft,ab
guillemotright,bb
guilsinglleft,2039
guilsinglright,203a
gukatakana,30b0
guramusquare,3318
gysquare,33c9
h,68
haabkhasiancyrillic,4a9
haaltonearabic,6c1
habengali,9b9
hadescendercyrillic,4b3
hadeva,939
hagujarati,ab9
hagurmukhi,a39
haharabic,62d
hahfinalarabic,fea2
hahinitialarabic,fea3
hahiragana,306f
hahmedialarabic,fea4
haitusquare,332a
hakatakana,30cf
hakatakanahalfwidth,ff8a
halantgurmukhi,a4d
hamzaarabic,621
hamzalowarabic,621
hangulfiller,3164
hardsigncyrillic,44a
harpoonleftbarbup,21bc
harpoonrightbarbup,21c0
hasquare,33ca
hatafpatah,5b2
hatafpatah16,5b2
hatafpatah23,5b2
hatafpatah2f,5b2
hatafpatahhebrew,5b2
hatafpatahnarrowhebrew,5b2
hatafpatahquarterhebrew,5b2
hatafpatahwidehebrew,5b2
hatafqamats,5b3
hatafqamats1b,5b3
hatafqamats28,5b3
hatafqamats34,5b3
hatafqamatshebrew,5b3
hatafqamatsnarrowhebrew,5b3
hatafqamatsquarterhebrew,5b3
hatafqamatswidehebrew,5b3
hatafsegol,5b1
hatafsegol17,5b1
hatafsegol24,5b1
hatafsegol30,5b1
hatafsegolhebrew,5b1
hatafsegolnarrowhebrew,5b1
hatafsegolquarterhebrew,5b1
hatafsegolwidehebrew,5b1
hbar,127
hbopomofo,310f
hbrevebelow,1e2b
hcedilla,1e29
hcircle,24d7
hcircumflex,125
hdieresis,1e27
hdotaccent,1e23
hdotbelow,1e25
he,5d4
heart,2665
heartsuitblack,2665
heartsuitwhite,2661
hedagesh,fb34
hedageshhebrew,fb34
hehaltonearabic,6c1
heharabic,647
hehebrew,5d4
hehfinalaltonearabic,fba7
hehfinalalttwoarabic,feea
hehfinalarabic,feea
hehhamzaabovefinalarabic,fba5
hehhamzaaboveisolatedarabic,fba4
hehinitialaltonearabic,fba8
hehinitialarabic,feeb
hehiragana,3078
hehmedialaltonearabic,fba9
hehmedialarabic,feec
heiseierasquare,337b
hekatakana,30d8
hekatakanahalfwidth,ff8d
hekutaarusquare,3336
henghook,267
herutusquare,3339
het,5d7
hethebrew,5d7
hhook,266
hhooksuperior,2b1
hieuhacirclekorean,327b
hieuhaparenkorean,321b
hieuhcirclekorean,326d
hieuhkorean,314e
hieuhparenkorean,320d
hihiragana,3072
hikatakana,30d2
hikatakanahalfwidth,ff8b
hiriq,5b4
hiriq14,5b4
hiriq21,5b4
hiriq2d,5b4
hiriqhebrew,5b4
hiriqnarrowhebrew,5b4
hiriqquarterhebrew,5b4
hiriqwidehebrew,5b4
hlinebelow,1e96
hmonospace,ff48
hoarmenian,570
hohipthai,e2b
hohiragana,307b
hokatakana,30db
hokatakanahalfwidth,ff8e
holam,5b9
holam19,5b9
holam26,5b9
holam32,5b9
holamhebrew,5b9
holamnarrowhebrew,5b9
holamquarterhebrew,5b9
holamwidehebrew,5b9
honokhukthai,e2e
hookabovecomb,309
hookcmb,309
hookpalatalizedbelowcmb,321
hookretroflexbelowcmb,322
hoonsquare,3342
horicoptic,3e9
horizontalbar,2015
horncmb,31b
hotsprings,2668
house,2302
hparen,24a3
hsuperior,2b0
hturned,265
huhiragana,3075
huiitosquare,3333
hukatakana,30d5
hukatakanahalfwidth,ff8c
hungarumlaut,2dd
hungarumlautcmb,30b
hv,195
hyphen,2d
hypheninferior,f6e5
hyphenmonospace,ff0d
hyphensmall,fe63
hyphensuperior,f6e6
hyphentwo,2010
i,69
iacute,ed
iacyrillic,44f
ibengali,987
ibopomofo,3127
ibreve,12d
icaron,1d0
icircle,24d8
icircumflex,ee
icyrillic,456
idblgrave,209
ideographearthcircle,328f
ideographfirecircle,328b
ideographicallianceparen,323f
ideographiccallparen,323a
ideographiccentrecircle,32a5
ideographicclose,3006
ideographiccomma,3001
ideographiccommaleft,ff64
ideographiccongratulationparen,3237
ideographiccorrectcircle,32a3
ideographicearthparen,322f
ideographicenterpriseparen,323d
ideographicexcellentcircle,329d
ideographicfestivalparen,3240
ideographicfinancialcircle,3296
ideographicfinancialparen,3236
ideographicfireparen,322b
ideographichaveparen,3232
ideographichighcircle,32a4
ideographiciterationmark,3005
ideographiclaborcircle,3298
ideographiclaborparen,3238
ideographicleftcircle,32a7
ideographiclowcircle,32a6
ideographicmedicinecircle,32a9
ideographicmetalparen,322e
ideographicmoonparen,322a
ideographicnameparen,3234
ideographicperiod,3002
ideographicprintcircle,329e
ideographicreachparen,3243
ideographicrepresentparen,3239
ideographicresourceparen,323e
ideographicrightcircle,32a8
ideographicsecretcircle,3299
ideographicselfparen,3242
ideographicsocietyparen,3233
ideographicspace,3000
ideographicspecialparen,3235
ideographicstockparen,3231
ideographicstudyparen,323b
ideographicsunparen,3230
ideographicsuperviseparen,323c
ideographicwaterparen,322c
ideographicwoodparen,322d
ideographiczero,3007
ideographmetalcircle,328e
ideographmooncircle,328a
ideographnamecircle,3294
ideographsuncircle,3290
ideographwatercircle,328c
ideographwoodcircle,328d
ideva,907
idieresis,ef
idieresisacute,1e2f
idieresiscyrillic,4e5
idotbelow,1ecb
iebrevecyrillic,4d7
iecyrillic,435
ieungacirclekorean,3275
ieungaparenkorean,3215
ieungcirclekorean,3267
ieungkorean,3147
ieungparenkorean,3207
igrave,ec
igujarati,a87
igurmukhi,a07
ihiragana,3044
ihookabove,1ec9
iibengali,988
iicyrillic,438
iideva,908
iigujarati,a88
iigurmukhi,a08
iimatragurmukhi,a40
iinvertedbreve,20b
iishortcyrillic,439
iivowelsignbengali,9c0
iivowelsigndeva,940
iivowelsigngujarati,ac0
ij,133
ikatakana,30a4
ikatakanahalfwidth,ff72
ikorean,3163
ilde,2dc
iluyhebrew,5ac
imacron,12b
imacroncyrillic,4e3
imageorapproximatelyequal,2253
imatragurmukhi,a3f
imonospace,ff49
increment,2206
infinity,221e
iniarmenian,56b
integral,222b
integralbottom,2321
integralbt,2321
integralex,f8f5
integraltop,2320
integraltp,2320
intersection,2229
intisquare,3305
invbullet,25d8
invcircle,25d9
invsmileface,263b
iocyrillic,451
iogonek,12f
iota,3b9
iotadieresis,3ca
iotadieresistonos,390
iotalatin,269
iotatonos,3af
iparen,24a4
irigurmukhi,a72
ismallhiragana,3043
ismallkatakana,30a3
ismallkatakanahalfwidth,ff68
issharbengali,9fa
istroke,268
isuperior,f6ed
iterationhiragana,309d
iterationkatakana,30fd
itilde,129
itildebelow,1e2d
iubopomofo,3129
iucyrillic,44e
ivowelsignbengali,9bf
ivowelsigndeva,93f
ivowelsigngujarati,abf
izhitsacyrillic,475
izhitsadblgravecyrillic,477
j,6a
jaarmenian,571
jabengali,99c
jadeva,91c
jagujarati,a9c
jagurmukhi,a1c
jbopomofo,3110
jcaron,1f0
jcircle,24d9
jcircumflex,135
jcrossedtail,29d
jdotlessstroke,25f
jecyrillic,458
jeemarabic,62c
jeemfinalarabic,fe9e
jeeminitialarabic,fe9f
jeemmedialarabic,fea0
jeharabic,698
jehfinalarabic,fb8b
jhabengali,99d
jhadeva,91d
jhagujarati,a9d
jhagurmukhi,a1d
jheharmenian,57b
jis,3004
jmonospace,ff4a
jparen,24a5
jsuperior,2b2
k,6b
kabashkircyrillic,4a1
kabengali,995
kacute,1e31
kacyrillic,43a
kadescendercyrillic,49b
kadeva,915
kaf,5db
kafarabic,643
kafdagesh,fb3b
kafdageshhebrew,fb3b
kaffinalarabic,feda
kafhebrew,5db
kafinitialarabic,fedb
kafmedialarabic,fedc
kafrafehebrew,fb4d
kagujarati,a95
kagurmukhi,a15
kahiragana,304b
kahookcyrillic,4c4
kakatakana,30ab
kakatakanahalfwidth,ff76
kappa,3ba
kappasymbolgreek,3f0
kapyeounmieumkorean,3171
kapyeounphieuphkorean,3184
kapyeounpieupkorean,3178
kapyeounssangpieupkorean,3179
karoriisquare,330d
kashidaautoarabic,640
kashidaautonosidebearingarabic,640
kasmallkatakana,30f5
kasquare,3384
kasraarabic,650
kasratanarabic,64d
kastrokecyrillic,49f
katahiraprolongmarkhalfwidth,ff70
kaverticalstrokecyrillic,49d
kbopomofo,310e
kcalsquare,3389
kcaron,1e9
kcedilla,137
kcircle,24da
kcommaaccent,137
kdotbelow,1e33
keharmenian,584
kehiragana,3051
kekatakana,30b1
kekatakanahalfwidth,ff79
kenarmenian,56f
kesmallkatakana,30f6
kgreenlandic,138
khabengali,996
khacyrillic,445
khadeva,916
khagujarati,a96
khagurmukhi,a16
khaharabic,62e
khahfinalarabic,fea6
khahinitialarabic,fea7
khahmedialarabic,fea8
kheicoptic,3e7
khhadeva,959
khhagurmukhi,a59
khieukhacirclekorean,3278
khieukhaparenkorean,3218
khieukhcirclekorean,326a
khieukhkorean,314b
khieukhparenkorean,320a
khokhaithai,e02
khokhonthai,e05
khokhuatthai,e03
khokhwaithai,e04
khomutthai,e5b
khook,199
khorakhangthai,e06
khzsquare,3391
kihiragana,304d
kikatakana,30ad
kikatakanahalfwidth,ff77
kiroguramusquare,3315
kiromeetorusquare,3316
kirosquare,3314
kiyeokacirclekorean,326e
kiyeokaparenkorean,320e
kiyeokcirclekorean,3260
kiyeokkorean,3131
kiyeokparenkorean,3200
kiyeoksioskorean,3133
kjecyrillic,45c
klinebelow,1e35
klsquare,3398
kmcubedsquare,33a6
kmonospace,ff4b
kmsquaredsquare,33a2
kohiragana,3053
kohmsquare,33c0
kokaithai,e01
kokatakana,30b3
kokatakanahalfwidth,ff7a
kooposquare,331e
koppacyrillic,481
koreanstandardsymbol,327f
koroniscmb,343
kparen,24a6
kpasquare,33aa
ksicyrillic,46f
ktsquare,33cf
kturned,29e
kuhiragana,304f
kukatakana,30af
kukatakanahalfwidth,ff78
kvsquare,33b8
kwsquare,33be
l,6c
labengali,9b2
lacute,13a
ladeva,932
lagujarati,ab2
lagurmukhi,a32
lakkhangyaothai,e45
lamaleffinalarabic,fefc
lamalefhamzaabovefinalarabic,fef8
lamalefhamzaaboveisolatedarabic,fef7
lamalefhamzabelowfinalarabic,fefa
lamalefhamzabelowisolatedarabic,fef9
lamalefisolatedarabic,fefb
lamalefmaddaabovefinalarabic,fef6
lamalefmaddaaboveisolatedarabic,fef5
lamarabic,644
lambda,3bb
lambdastroke,19b
lamed,5dc
lameddagesh,fb3c
lameddageshhebrew,fb3c
lamedhebrew,5dc
lamfinalarabic,fede
lamhahinitialarabic,fcca
laminitialarabic,fedf
lamjeeminitialarabic,fcc9
lamkhahinitialarabic,fccb
lamlamhehisolatedarabic,fdf2
lammedialarabic,fee0
lammeemhahinitialarabic,fd88
lammeeminitialarabic,fccc
largecircle,25ef
lbar,19a
lbelt,26c
lbopomofo,310c
lcaron,13e
lcedilla,13c
lcircle,24db
lcircumflexbelow,1e3d
lcommaaccent,13c
ldot,140
ldotaccent,140
ldotbelow,1e37
ldotbelowmacron,1e39
leftangleabovecmb,31a
lefttackbelowcmb,318
less,3c
lessequal,2264
lessequalorgreater,22da
lessmonospace,ff1c
lessorequivalent,2272
lessorgreater,2276
lessoverequal,2266
lesssmall,fe64
lezh,26e
lfblock,258c
lhookretroflex,26d
lira,20a4
liwnarmenian,56c
lj,1c9
ljecyrillic,459
ll,f6c0
lladeva,933
llagujarati,ab3
llinebelow,1e3b
llladeva,934
llvocalicbengali,9e1
llvocalicdeva,961
llvocalicvowelsignbengali,9e3
llvocalicvowelsigndeva,963
lmiddletilde,26b
lmonospace,ff4c
lmsquare,33d0
lochulathai,e2c
logicaland,2227
logicalnot,ac
logicalnotreversed,2310
logicalor,2228
lolingthai,e25
longs,17f
lowlinecenterline,fe4e
lowlinecmb,332
lowlinedashed,fe4d
lozenge,25ca
lparen,24a7
lslash,142
lsquare,2113
lsuperior,f6ee
ltshade,2591
luthai,e26
lvocalicbengali,98c
lvocalicdeva,90c
lvocalicvowelsignbengali,9e2
lvocalicvowelsigndeva,962
lxsquare,33d3
m,6d
mabengali,9ae
macron,af
macronbelowcmb,331
macroncmb,304
macronlowmod,2cd
macronmonospace,ffe3
macute,1e3f
madeva,92e
magujarati,aae
magurmukhi,a2e
mahapakhhebrew,5a4
mahapakhlefthebrew,5a4
mahiragana,307e
maichattawalowleftthai,f895
maichattawalowrightthai,f894
maichattawathai,e4b
maichattawaupperleftthai,f893
maieklowleftthai,f88c
maieklowrightthai,f88b
maiekthai,e48
maiekupperleftthai,f88a
maihanakatleftthai,f884
maihanakatthai,e31
maitaikhuleftthai,f889
maitaikhuthai,e47
maitholowleftthai,f88f
maitholowrightthai,f88e
maithothai,e49
maithoupperleftthai,f88d
maitrilowleftthai,f892
maitrilowrightthai,f891
maitrithai,e4a
maitriupperleftthai,f890
maiyamokthai,e46
makatakana,30de
makatakanahalfwidth,ff8f
male,2642
mansyonsquare,3347
maqafhebrew,5be
mars,2642
masoracirclehebrew,5af
masquare,3383
mbopomofo,3107
mbsquare,33d4
mcircle,24dc
mcubedsquare,33a5
mdotaccent,1e41
mdotbelow,1e43
meemarabic,645
meemfinalarabic,fee2
meeminitialarabic,fee3
meemmedialarabic,fee4
meemmeeminitialarabic,fcd1
meemmeemisolatedarabic,fc48
meetorusquare,334d
mehiragana,3081
meizierasquare,337e
mekatakana,30e1
mekatakanahalfwidth,ff92
mem,5de
memdagesh,fb3e
memdageshhebrew,fb3e
memhebrew,5de
menarmenian,574
merkhahebrew,5a5
merkhakefulahebrew,5a6
merkhakefulalefthebrew,5a6
merkhalefthebrew,5a5
mhook,271
mhzsquare,3392
middledotkatakanahalfwidth,ff65
middot,b7
mieumacirclekorean,3272
mieumaparenkorean,3212
mieumcirclekorean,3264
mieumkorean,3141
mieumpansioskorean,3170
mieumparenkorean,3204
mieumpieupkorean,316e
mieumsioskorean,316f
mihiragana,307f
mikatakana,30df
mikatakanahalfwidth,ff90
minus,2212
minusbelowcmb,320
minuscircle,2296
minusmod,2d7
minusplus,2213
minute,2032
miribaarusquare,334a
mirisquare,3349
mlonglegturned,270
mlsquare,3396
mmcubedsquare,33a3
mmonospace,ff4d
mmsquaredsquare,339f
mohiragana,3082
mohmsquare,33c1
mokatakana,30e2
mokatakanahalfwidth,ff93
molsquare,33d6
momathai,e21
moverssquare,33a7
moverssquaredsquare,33a8
mparen,24a8
mpasquare,33ab
mssquare,33b3
msuperior,f6ef
mturned,26f
mu,b5
mu1,b5
muasquare,3382
muchgreater,226b
muchless,226a
mufsquare,338c
mugreek,3bc
mugsquare,338d
muhiragana,3080
mukatakana,30e0
mukatakanahalfwidth,ff91
mulsquare,3395
multiply,d7
mumsquare,339b
munahhebrew,5a3
munahlefthebrew,5a3
musicalnote,266a
musicalnotedbl,266b
musicflatsign,266d
musicsharpsign,266f
mussquare,33b2
muvsquare,33b6
muwsquare,33bc
mvmegasquare,33b9
mvsquare,33b7
mwmegasquare,33bf
mwsquare,33bd
n,6e
nabengali,9a8
nabla,2207
nacute,144
nadeva,928
nagujarati,aa8
nagurmukhi,a28
nahiragana,306a
nakatakana,30ca
nakatakanahalfwidth,ff85
napostrophe,149
nasquare,3381
nbopomofo,310b
nbspace,a0
ncaron,148
ncedilla,146
ncircle,24dd
ncircumflexbelow,1e4b
ncommaaccent,146
ndotaccent,1e45
ndotbelow,1e47
nehiragana,306d
nekatakana,30cd
nekatakanahalfwidth,ff88
newsheqelsign,20aa
nfsquare,338b
ngabengali,999
ngadeva,919
ngagujarati,a99
ngagurmukhi,a19
ngonguthai,e07
nhiragana,3093
nhookleft,272
nhookretroflex,273
nieunacirclekorean,326f
